,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls-90,Ast-90,G+A-90,G-PK-90,G+A-PK,xG-90,xAG-90,xG+xAG,npxG-90,npxG+xAG-90
291,Mergim Berisha,de GER,FW,Hoffenheim,de Bundesliga,25,1998,6,0,144,1.6,0,0,0,0,0,0,0,0,0.5,0.5,0.3,0.8,2,3,13,0.00,0.00,0.00,0.00,0.00,0.32,0.19,0.51,0.32,0.51
292,Mergim Berisha,de GER,FW,Augsburg,de Bundesliga,25,1998,2,2,122,1.4,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,3,1,5,0.00,0.00,0.00,0.00,0.00,0.13,0.07,0.20,0.13,0.20
293,Bernardo,br BRA,DF,Bochum,de Bundesliga,28,1995,33,33,2924,32.5,1,0,1,1,0,0,9,0,1.9,1.9,0.5,2.4,26,127,38,0.03,0.00,0.03,0.03,0.03,0.06,0.01,0.07,0.06,0.07
294,Victor Bernth Kristiansen,dk DEN,DF,Bologna,it Serie A,20,2002,32,26,2307,25.6,0,3,3,0,0,0,4,0,0.3,0.3,2.4,2.6,23,123,74,0.00,0.12,0.12,0.00,0.12,0.01,0.09,0.10,0.01,0.10
295,Matúš Bero,sk SVK,"MF,FW",Bochum,de Bundesliga,27,1995,24,20,1661,18.5,1,1,2,1,0,0,6,0,2.9,2.9,1.3,4.2,12,48,71,0.05,0.05,0.11,0.05,0.11,0.16,0.07,0.23,0.16,0.23
296,Luke Berry,eng ENG,"MF,DF",Luton Town,eng Premier League,31,1992,17,2,323,3.6,2,1,3,2,0,0,1,0,1.0,1.0,0.3,1.3,1,8,7,0.56,0.28,0.84,0.56,0.84,0.28,0.07,0.35,0.28,0.35
297,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,25,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
298,Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,de Bundesliga,24,1999,31,31,2603,28.9,8,11,19,8,0,1,4,0,4.3,3.5,5.7,9.2,80,57,136,0.28,0.38,0.66,0.28,0.66,0.15,0.20,0.35,0.12,0.32
299,Beto,gw GNB,FW,Everton,eng Premier League,25,1998,30,9,951,10.6,3,0,3,3,0,1,2,0,6.8,6.0,0.9,6.9,14,14,58,0.28,0.00,0.28,0.28,0.28,0.64,0.09,0.73,0.57,0.66
300,Beto,gw GNB,FW,Udinese,it Serie A,25,1998,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.32,0.32,0.00,0.32
301,Davide Bettella,it ITA,MF,Monza,it Serie A,23,2000,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
302,Sam Beukema,nl NED,DF,Bologna,it Serie A,24,1998,30,29,2547,28.3,1,1,2,1,0,0,6,1,1.9,1.9,0.8,2.7,14,76,5,0.04,0.04,0.07,0.04,0.07,0.07,0.03,0.10,0.07,0.10
303,Jordan Beyer,de GER,DF,Burnley,eng Premier League,23,2000,15,15,1234,13.7,0,1,1,0,0,0,6,0,0.5,0.5,0.3,0.8,9,25,1,0.00,0.07,0.07,0.00,0.07,0.04,0.02,0.06,0.04,0.06
304,Pep Biel,es ESP,"MF,FW",Augsburg,de Bundesliga,26,1996,11,0,285,3.2,0,0,0,0,0,0,1,0,1.0,1.0,0.2,1.2,2,16,16,0.00,0.00,0.00,0.00,0.00,0.32,0.07,0.38,0.32,0.38
305,Jaka Bijol,si SVN,DF,Udinese,it Serie A,24,1999,24,23,2084,23.2,0,0,0,0,0,0,4,0,1.9,1.9,0.2,2.1,5,42,1,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09
306,El Bilal Touré,ml MLI,FW,Atalanta,it Serie A,21,2001,11,3,394,4.4,2,0,2,2,0,0,2,0,1.2,1.2,0.8,2.0,16,11,39,0.46,0.00,0.46,0.46,0.46,0.28,0.18,0.46,0.28,0.46
307,Philip Billing,dk DEN,MF,Bournemouth,eng Premier League,27,1996,29,13,1398,15.5,2,2,4,2,0,0,3,1,2.5,2.5,3.2,5.7,22,53,63,0.13,0.13,0.26,0.13,0.26,0.16,0.21,0.36,0.16,0.36
308,Cristiano Biraghi,it ITA,DF,Fiorentina,it Serie A,30,1992,29,27,2356,26.2,2,5,7,2,0,1,8,0,1.6,0.8,3.6,4.4,55,129,109,0.08,0.19,0.27,0.08,0.27,0.06,0.14,0.20,0.03,0.17
309,Davide Biraschi,it ITA,DF,Genoa,it Serie A,29,1994,1,1,90,1.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,0,5,4,1.00,0.00,1.00,1.00,1.00,0.10,0.00,0.10,0.10,0.10
310,Samuele Birindelli,it ITA,DF,Monza,it Serie A,24,1999,35,22,2013,22.4,0,2,2,0,0,0,7,0,1.1,1.1,2.9,4.0,63,70,122,0.00,0.09,0.09,0.00,0.09,0.05,0.13,0.18,0.05,0.18
311,Tom Bischof,de GER,"MF,FW",Hoffenheim,de Bundesliga,18,2005,13,1,178,2.0,0,2,2,0,0,0,0,0,0.4,0.4,0.8,1.2,2,18,18,0.00,1.01,1.01,0.00,1.01,0.19,0.40,0.59,0.19,0.59
312,Yves Bissouma,ml MLI,MF,Tottenham,eng Premier League,26,1996,28,26,2068,23.0,0,0,0,0,0,0,10,2,1.4,1.4,0.4,1.8,43,169,13,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08
313,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,29,1993,29,19,1578,17.5,1,2,3,1,0,0,9,0,2.2,2.2,2.9,5.2,61,85,74,0.06,0.11,0.17,0.06,0.17,0.13,0.17,0.30,0.13,0.30
314,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,32,1991,32,32,2876,32.0,0,0,0,0,0,0,3,1,0.0,0.0,0.1,0.1,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
315,Antonio Blanco,es ESP,MF,Alavés,es La Liga,23,2000,33,29,2426,27.0,0,1,1,0,0,0,5,1,0.8,0.8,1.2,2.1,20,133,22,0.00,0.04,0.04,0.00,0.04,0.03,0.05,0.08,0.03,0.08
316,Rubén Blanco,es ESP,GK,Marseille,fr Ligue 1,28,1995,2,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
317,Hendry Blank,de GER,DF,Dortmund,de Bundesliga,18,2004,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
318,Ludovic Blas,fr FRA,"FW,MF",Rennes,fr Ligue 1,25,1997,29,18,1563,17.4,4,1,5,3,1,2,3,0,4.7,3.1,1.7,4.8,46,59,157,0.23,0.06,0.29,0.17,0.23,0.27,0.10,0.37,0.18,0.27
319,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,32,1991,21,21,1890,21.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
320,Alexis Blin,fr FRA,MF,Lecce,it Serie A,26,1996,31,16,1642,18.2,0,2,2,0,0,0,4,0,1.1,1.1,0.7,1.8,7,60,11,0.00,0.11,0.11,0.00,0.11,0.06,0.04,0.10,0.06,0.10
321,Daley Blind,nl NED,DF,Girona,es La Liga,33,1990,34,33,2972,33.0,1,2,3,1,0,0,6,0,1.7,1.7,1.1,2.8,48,209,22,0.03,0.06,0.09,0.03,0.09,0.05,0.03,0.09,0.05,0.09
322,Myron Boadu,nl NED,FW,Monaco,fr Ligue 1,22,2001,9,0,85,0.9,1,0,1,1,0,0,0,0,0.4,0.4,0.0,0.4,3,1,9,1.06,0.00,1.06,1.06,1.06,0.46,0.00,0.46,0.46,0.46
323,Benicio Boaitey,eng ENG,"FW,DF",Brighton,eng Premier League,19,2004,5,0,40,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.19,0.05,0.19
324,Jérôme Boateng,de GER,DF,Salernitana,it Serie A,34,1988,7,4,238,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,9,1,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05
325,Oscar Bobb,no NOR,"FW,MF",Manchester City,eng Premier League,20,2003,14,2,302,3.4,1,1,2,1,0,0,0,0,1.4,1.4,1.2,2.6,13,25,38,0.30,0.30,0.60,0.30,0.60,0.41,0.37,0.78,0.41,0.78
326,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,22,2000,2,1,109,1.2,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1,5,8,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20
327,Jeremie Boga,ci CIV,FW,Nice,fr Ligue 1,26,1997,28,24,1998,22.2,6,6,12,6,0,0,1,0,4.3,4.3,4.2,8.5,107,64,170,0.27,0.27,0.54,0.27,0.54,0.19,0.19,0.38,0.19,0.38
328,Jayden Bogle,eng ENG,DF,Sheffield Utd,eng Premier League,23,2000,34,32,2788,31.0,3,0,3,3,0,0,9,0,2.3,2.3,1.0,3.3,38,60,92,0.10,0.00,0.10,0.10,0.10,0.07,0.03,0.11,0.07,0.11
329,Emil Bohinen,no NOR,MF,Genoa,it Serie A,24,1999,5,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17
330,Emil Bohinen,no NOR,MF,Salernitana,it Serie A,24,1999,12,7,535,5.9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,7,26,10,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
331,Adama Bojang,gm GAM,FW,Reims,fr Ligue 1,19,2004,9,0,83,0.9,0,0,0,0,0,0,1,0,1.3,1.3,0.0,1.3,2,1,8,0.00,0.00,0.00,0.00,0.00,1.38,0.05,1.43,1.38,1.43
332,Daniel Boloca,ro ROU,MF,Sassuolo,it Serie A,24,1998,30,23,2022,22.5,1,0,1,1,0,0,6,1,0.5,0.5,0.4,0.9,27,109,17,0.04,0.00,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04
333,Willy Boly,ci CIV,DF,Nott'ham Forest,eng Premier League,32,1991,20,18,1438,16.0,2,1,3,2,0,0,3,1,1.5,1.5,1.3,2.8,4,32,3,0.13,0.06,0.19,0.13,0.19,0.09,0.08,0.18,0.09,0.18
334,Giacomo Bonaventura,it ITA,MF,Fiorentina,it Serie A,33,1989,31,27,2277,25.3,8,3,11,8,0,1,6,0,5.7,4.4,3.6,8.0,60,140,107,0.32,0.12,0.43,0.32,0.43,0.22,0.14,0.36,0.18,0.32
335,Federico Bonazzoli,it ITA,"FW,MF",Hellas Verona,it Serie A,26,1997,24,10,1016,11.3,3,1,4,3,0,0,2,0,2.9,2.9,1.1,4.0,13,26,73,0.27,0.09,0.35,0.27,0.35,0.25,0.10,0.35,0.25,0.35
336,Warren Bondo,fr FRA,MF,Monza,it Serie A,19,2003,25,14,1475,16.4,1,1,2,1,0,0,9,0,0.9,0.9,0.3,1.2,31,43,13,0.06,0.06,0.12,0.06,0.12,0.06,0.02,0.08,0.06,0.08
337,Giovanni Bonfanti,it ITA,DF,Atalanta,it Serie A,20,2003,2,1,89,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,2,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09
338,Victor Boniface,ng NGA,FW,Leverkusen,de Bundesliga,22,2000,23,18,1546,17.2,14,8,22,10,4,4,2,0,15.4,12.3,3.7,16.0,50,34,158,0.82,0.47,1.28,0.58,1.05,0.90,0.22,1.12,0.71,0.93
339,Kevin Bonifazi,it ITA,DF,Bologna,it Serie A,27,1996,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
340,Kevin Bonifazi,it ITA,DF,Frosinone,it Serie A,27,1996,6,3,309,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,7,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02
341,Leonardo Bonucci,it ITA,DF,Union Berlin,de Bundesliga,36,1987,7,6,460,5.1,1,0,1,0,1,1,0,0,0.8,0.0,0.3,0.3,0,21,1,0.20,0.00,0.20,0.00,0.00,0.15,0.06,0.22,0.00,0.06
342,Ângelo Borges,br BRA,"FW,MF",Strasbourg,fr Ligue 1,18,2004,21,11,1094,12.2,0,3,3,0,0,0,1,0,0.4,0.4,3.3,3.7,50,59,109,0.00,0.25,0.25,0.00,0.25,0.04,0.27,0.31,0.04,0.31
343,Neto Borges,br BRA,DF,Clermont Foot,fr Ligue 1,26,1996,28,28,2516,28.0,0,1,1,0,0,0,3,1,0.5,0.5,2.8,3.4,58,88,165,0.00,0.04,0.04,0.00,0.04,0.02,0.10,0.12,0.02,0.12
344,Yvandro Borges Sanches,lu LUX,"MF,FW",Gladbach,de Bundesliga,19,2004,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
345,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,24,1999,20,16,1431,15.9,0,0,0,0,0,0,5,0,0.8,0.8,0.4,1.2,2,41,2,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.07,0.05,0.07
346,Rafael Borré,co COL,FW,Werder Bremen,de Bundesliga,27,1995,19,11,991,11.0,4,0,4,4,0,0,0,0,2.4,2.4,1.8,4.2,16,28,73,0.36,0.00,0.36,0.36,0.36,0.22,0.16,0.38,0.22,0.38
347,Gennaro Borrelli,it ITA,FW,Frosinone,it Serie A,23,2000,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
348,Adri Bosch,es ESP,DF,Granada,es La Liga,22,2001,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
349,Erik Botheim,no NOR,"FW,MF",Salernitana,it Serie A,23,2000,7,4,316,3.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,5,9,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
350,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,23,2000,17,15,1377,15.3,2,2,4,2,0,0,2,0,0.6,0.6,1.0,1.6,0,35,5,0.13,0.13,0.26,0.13,0.26,0.04,0.07,0.11,0.04,0.11
351,Saïmon Bouabré,fr FRA,MF,Monaco,fr Ligue 1,17,2006,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
352,Ayyoub Bouaddi,fr FRA,MF,Lille,fr Ligue 1,15,2007,9,1,131,1.5,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,1,12,2,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
353,Badredine Bouanani,dz ALG,FW,Nice,fr Ligue 1,18,2004,7,1,161,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.5,0.7,10,2,24,0.00,0.00,0.00,0.00,0.00,0.12,0.26,0.37,0.12,0.37
354,Badredine Bouanani,dz ALG,MF,Lorient,fr Ligue 1,18,2004,11,4,443,4.9,1,0,1,1,0,0,0,0,1.4,1.4,0.9,2.3,30,32,27,0.20,0.00,0.20,0.20,0.20,0.28,0.18,0.46,0.28,0.46
355,Mohamed Bouchenna,fr FRA,"MF,FW",Clermont Foot,fr Ligue 1,17,2006,2,0,29,0.3,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,0,1,3,0.00,0.00,0.00,0.00,0.00,0.19,0.65,0.85,0.19,0.85
356,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,23,1999,29,17,1613,17.9,2,0,2,2,0,0,5,0,3.3,3.3,1.8,5.1,28,78,58,0.11,0.00,0.11,0.11,0.11,0.19,0.10,0.29,0.19,0.29
357,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,32,1991,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
358,Mehdi Bourabia,ma MAR,MF,Frosinone,it Serie A,31,1991,10,3,200,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,7,8,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
359,Benjamin Bourigeaud,fr FRA,"MF,FW",Rennes,fr Ligue 1,29,1994,32,29,2425,26.9,9,6,15,2,7,7,1,0,9.9,4.4,6.7,11.1,27,178,139,0.33,0.22,0.56,0.07,0.30,0.37,0.25,0.62,0.16,0.41
360,Bilal Boutobba,fr FRA,"FW,MF",Clermont Foot,fr Ligue 1,24,1998,27,10,926,10.3,1,1,2,1,0,0,1,0,2.0,2.0,1.7,3.7,38,43,86,0.10,0.10,0.19,0.10,0.19,0.20,0.17,0.36,0.20,0.36
361,Hugo Boutsingkham,fr FRA,"MF,FW",Nantes,fr Ligue 1,20,2003,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
362,Edoardo Bove,it ITA,MF,Roma,it Serie A,21,2002,31,18,1780,19.8,0,2,2,0,0,0,2,0,2.0,2.0,0.7,2.7,21,88,47,0.00,0.10,0.10,0.00,0.10,0.10,0.04,0.14,0.10,0.14
363,Jarrod Bowen,eng ENG,FW,West Ham,eng Premier League,26,1996,34,34,3019,33.5,16,6,22,16,0,0,2,0,11.6,11.6,5.5,17.2,90,52,186,0.48,0.18,0.66,0.48,0.66,0.35,0.16,0.51,0.35,0.51
364,Lucas Boyé,ar ARG,FW,Granada,es La Liga,27,1996,31,30,2541,28.2,6,3,9,6,0,0,8,1,6.2,6.2,2.8,8.9,36,65,131,0.21,0.11,0.32,0.21,0.32,0.22,0.10,0.32,0.22,0.32
365,Domagoj Bradarić,hr CRO,DF,Salernitana,it Serie A,23,1999,34,30,2749,30.5,0,3,3,0,0,0,5,0,0.8,0.8,1.8,2.6,57,76,120,0.00,0.10,0.10,0.00,0.10,0.03,0.06,0.08,0.03,0.08
366,Conor Bradley,nir NIR,DF,Liverpool,eng Premier League,20,2003,11,10,753,8.4,1,3,4,1,0,0,2,0,0.9,0.9,1.5,2.3,35,29,64,0.12,0.36,0.48,0.12,0.48,0.10,0.17,0.28,0.10,0.28
367,Bilal Brahimi,dz ALG,FW,Nice,fr Ligue 1,23,2000,2,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,6,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.58,0.00,0.58
368,Bilal Brahimi,dz ALG,"FW,MF",Brest,fr Ligue 1,23,2000,18,1,221,2.5,0,0,0,0,0,0,1,1,0.1,0.1,0.3,0.4,15,9,39,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.15,0.04,0.15
369,Julian Brandt,de GER,"MF,FW",Dortmund,de Bundesliga,27,1996,32,26,2223,24.7,7,11,18,7,0,0,2,0,4.4,4.4,9.5,13.8,74,116,158,0.28,0.45,0.73,0.28,0.73,0.18,0.38,0.56,0.18,0.56
370,Jarrad Branthwaite,eng ENG,DF,Everton,eng Premier League,21,2002,35,35,3116,34.6,3,0,3,3,0,0,8,0,1.7,1.7,1.0,2.8,2,74,6,0.09,0.00,0.09,0.09,0.09,0.05,0.03,0.08,0.05,0.08
371,Darko Brašanac,rs SRB,MF,Osasuna,es La Liga,31,1992,2,0,48,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
372,Lilian Brassier,fr FRA,DF,Brest,fr Ligue 1,23,1999,30,30,2677,29.7,3,0,3,3,0,0,11,1,1.1,1.1,0.6,1.6,20,121,5,0.10,0.00,0.10,0.10,0.10,0.04,0.02,0.06,0.04,0.06
373,Brau,es ESP,DF,Granada,es La Liga,21,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
374,Claudio Bravo,cl CHI,GK,Betis,es La Liga,40,1983,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
375,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,28,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
376,Tim Breithaupt,de GER,MF,Augsburg,de Bundesliga,21,2002,16,6,629,7.0,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,0,21,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
377,Josip Brekalo,hr CRO,FW,Fiorentina,it Serie A,25,1998,11,8,652,7.2,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.7,14,25,69,0.14,0.00,0.14,0.14,0.14,0.06,0.04,0.10,0.06,0.10
378,Gleison Bremer,br BRA,DF,Juventus,it Serie A,26,1997,36,36,3233,35.9,3,0,3,3,0,0,9,0,1.4,1.4,0.4,1.9,7,120,4,0.08,0.00,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05
379,Brenner,br BRA,"MF,FW",Udinese,it Serie A,23,2000,8,2,189,2.1,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,6,8,10,0.00,0.00,0.00,0.00,0.00,0.18,0.01,0.20,0.18,0.20
380,Ben Brereton,cl CHI,"FW,MF",Sheffield Utd,eng Premier League,24,1999,14,14,1105,12.3,6,1,7,5,1,1,3,0,6.1,5.3,1.5,6.7,23,37,78,0.49,0.08,0.57,0.41,0.49,0.49,0.12,0.61,0.43,0.55
381,Ben Brereton,cl CHI,"FW,MF",Villarreal,es La Liga,24,1999,14,2,270,3.0,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,6,14,35,0.00,0.00,0.00,0.00,0.00,0.07,0.09,0.16,0.07,0.16
382,Marco Brescianini,it ITA,MF,Frosinone,it Serie A,23,2000,36,24,2321,25.8,4,2,6,4,0,0,1,0,2.3,2.3,1.6,3.9,46,70,100,0.16,0.08,0.23,0.16,0.23,0.09,0.06,0.15,0.09,0.15
383,Maximilian Breunig,de GER,FW,Freiburg,de Bundesliga,22,2000,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
384,Rhian Brewster,eng ENG,"FW,MF",Sheffield Utd,eng Premier League,23,2000,13,3,346,3.8,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,1,3,21,0.00,0.00,0.00,0.00,0.00,0.09,0.03,0.12,0.09,0.12
385,Bennit Bröger,de GER,FW,Wolfsburg,de Bundesliga,17,2006,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
386,Armando Broja,al ALB,FW,Chelsea,eng Premier League,21,2001,13,6,454,5.0,1,0,1,1,0,0,0,0,2.4,2.4,0.2,2.5,11,6,37,0.20,0.00,0.20,0.20,0.20,0.47,0.03,0.50,0.47,0.50
387,Armando Broja,al ALB,FW,Fulham,eng Premier League,21,2001,8,0,88,1.0,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,2,2,7,0.00,1.02,1.02,0.00,1.02,0.00,0.41,0.41,0.00,0.41
388,Dylan Bronn,tn TUN,"DF,MF",Salernitana,it Serie A,28,1995,4,0,52,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
389,Andre Brooks,eng ENG,"MF,DF",Sheffield Utd,eng Premier League,19,2003,20,12,938,10.4,0,0,0,0,0,0,1,0,0.4,0.4,0.1,0.5,12,18,22,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
390,David Brooks,wls WAL,"FW,MF",Bournemouth,eng Premier League,26,1997,13,2,282,3.1,1,1,2,1,0,0,1,0,2.2,2.2,1.0,3.2,8,21,27,0.32,0.32,0.64,0.32,0.64,0.70,0.33,1.03,0.70,1.03
391,John Brooks,us USA,DF,Hoffenheim,de Bundesliga,30,1993,21,18,1539,17.1,2,0,2,2,0,0,6,1,2.6,2.6,0.1,2.7,5,61,1,0.12,0.00,0.12,0.12,0.12,0.15,0.01,0.16,0.15,0.16
392,Moritz Broschinski,de GER,FW,Bochum,de Bundesliga,22,2000,26,14,1247,13.9,2,3,5,2,0,0,4,0,2.4,2.4,1.8,4.1,18,10,92,0.14,0.22,0.36,0.14,0.36,0.17,0.13,0.30,0.17,0.30
393,Jacob Brown,sct SCO,"MF,FW",Luton Town,eng Premier League,25,1998,19,12,1019,11.3,2,0,2,2,0,0,4,0,2.8,2.8,0.7,3.4,25,19,53,0.18,0.00,0.18,0.18,0.18,0.25,0.06,0.30,0.25,0.30
394,Josh Brownhill,eng ENG,MF,Burnley,eng Premier League,27,1995,33,23,2252,25.0,4,2,6,4,0,0,4,1,1.9,1.9,2.1,4.0,19,90,36,0.16,0.08,0.24,0.16,0.24,0.08,0.08,0.16,0.08,0.16
395,Alexander Brunst,de GER,GK,Darmstadt 98,de Bundesliga,28,1995,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
396,Jacob Bruun Larsen,dk DEN,"MF,FW",Burnley,eng Premier League,24,1998,32,16,1249,13.9,6,0,6,5,1,1,1,0,5.0,4.2,1.5,5.7,61,38,146,0.43,0.00,0.43,0.36,0.36,0.36,0.10,0.46,0.30,0.41
397,Tajon Buchanan,ca CAN,DF,Inter,it Serie A,24,1999,10,0,161,1.8,1,0,1,1,0,0,0,0,0.2,0.2,0.3,0.5,12,4,22,0.56,0.00,0.56,0.56,0.56,0.11,0.18,0.29,0.11,0.29
398,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,32,1991,33,29,2435,27.1,17,2,19,14,3,4,4,0,14.2,11.1,1.8,12.9,21,42,99,0.63,0.07,0.70,0.52,0.59,0.53,0.07,0.59,0.41,0.48
